O*NET-SOC Code	Alternate Title	Short Title	Source(s)
11-1011.00	Aeronautics Commission Director	n/a	08
11-1011.00	Agricultural Services Director	n/a	08
11-1011.00	Alcohol and Drug Abuse Assistance Program Administrator	n/a	08
11-1011.00	Arts and Humanities Council Director	n/a	08
11-1011.00	Bakery Manager	n/a	08
11-1011.00	Bank President	n/a	09
11-1011.00	Book Publisher	n/a	09
11-1011.00	Brokerage Office Manager	n/a	08
11-1011.00	Bureau Chief	n/a	04,06
11-1011.00	Business Development Executive	n/a	09
11-1011.00	Business Development Officer	n/a	09
11-1011.00	Business Enterprise Officer	n/a	08
11-1011.00	Business Executive	n/a	09
11-1011.00	Cemetery Manager	n/a	08
11-1011.00	Chairman	n/a	09
11-1011.00	Chancellor	n/a	04,06
11-1011.00	Chief Administrative Officer	n/a	09
11-1011.00	Chief Diversity Officer (CDO)	CDO	02
11-1011.00	Chief Executive Officer (CEO)	CEO	02,04,08
11-1011.00	Chief Financial Officer (CFO)	CFO	01,02,08
11-1011.00	Chief Innovation Officer	n/a	08
11-1011.00	Chief Nursing Officer	n/a	02
11-1011.00	Chief Operating Officer (COO)	COO	02,04,08
11-1011.00	Chief Warden	n/a	08
11-1011.00	City Administrator	n/a	09
11-1011.00	City Manager	n/a	04,06,08
11-1011.00	City Superintendent	n/a	04,06
11-1011.00	City Superintendent of Schools	n/a	04,06
11-1011.00	City Supervisor	n/a	04,06
11-1011.00	Classification and Treatment Director	n/a	08
11-1011.00	College President	n/a	09
11-1011.00	Commissioner of Internal Revenue	n/a	04,06
11-1011.00	Community Services and Health Education Officer	n/a	08
11-1011.00	Compliance Director	n/a	08
11-1011.00	Conservation of Resources Commissioner	n/a	08
11-1011.00	Consumer Affairs Director	n/a	08
11-1011.00	Corporate Administrator	n/a	09
11-1011.00	Corporate Executive	n/a	09
11-1011.00	Corporate Manager	n/a	09
11-1011.00	Corporate Officer	n/a	09
11-1011.00	Corporate Planner	n/a	09
11-1011.00	Corporation Officer	n/a	04,06
11-1011.00	Correctional Agency Director	n/a	08
11-1011.00	Council On Aging Director	n/a	08
11-1011.00	County Administrator	n/a	04,06
11-1011.00	County Commissioner	n/a	04,06
11-1011.00	County Superintendent of Schools	n/a	04,06
11-1011.00	County Supervisor	n/a	04,06
11-1011.00	Department Manager	n/a	08
11-1011.00	Department Store Manager	n/a	08
11-1011.00	Deputy District Customs Director	n/a	08
11-1011.00	Deputy Insurance Commissioner	n/a	08
11-1011.00	Director of Vital Statistics	n/a	08
11-1011.00	District Customs Director	n/a	08
11-1011.00	Economic Development Coordinator	n/a	08
11-1011.00	Educational Institution President	n/a	08
11-1011.00	Election Assistant	n/a	08
11-1011.00	Employment Research and Planning Director	n/a	08
11-1011.00	Employment Services Director	n/a	08
11-1011.00	Environmental Analyst	n/a	08
11-1011.00	Executive Administrator	n/a	09
11-1011.00	Executive Director	n/a	02,08
11-1011.00	Executive Vice President (EVP)	EVP	02,08
11-1011.00	Federal Aid Coordinator	n/a	08
11-1011.00	Field Representatives Director	n/a	08
11-1011.00	Financial Institution President	n/a	08
11-1011.00	Financial Responsibility Division Director	n/a	08
11-1011.00	Financial Secretary	n/a	09
11-1011.00	Fire Chief	n/a	08
11-1011.00	Fishery Division Chief	n/a	08
11-1011.00	Foreign Diplomat	n/a	09
11-1011.00	Foreign Service Officer	n/a	08
11-1011.00	Foundation Director	n/a	09
11-1011.00	Government Service Executive	n/a	04,08
11-1011.00	Governor	n/a	04,06
11-1011.00	Harbor Master	n/a	08
11-1011.00	Health Commissioner	n/a	04,06
11-1011.00	Highway Commissioner	n/a	04,06
11-1011.00	Housing Management Officer	n/a	08
11-1011.00	Institution Director	n/a	08
11-1011.00	Insurance Commissioner	n/a	04,06
11-1011.00	International Accounting User Representative	n/a	08
11-1011.00	Irrigation Tax Assessor-Collector	n/a	08
11-1011.00	Labor Commissioner	n/a	04,06
11-1011.00	Labor Standards Director	n/a	08
11-1011.00	Law Enforcement Director	n/a	08
11-1011.00	Licensing and Registration Director	n/a	08
11-1011.00	Lieutenant Governor	n/a	04,06
11-1011.00	Liquor Commissioner	n/a	04,06
11-1011.00	Liquor Stores and Agencies Supervisor	n/a	08
11-1011.00	Mayor	n/a	04,06
11-1011.00	Media Executive	n/a	09
11-1011.00	Medical Facilities Section Director	n/a	08
11-1011.00	Music Executive	n/a	09
11-1011.00	Music Publisher	n/a	09
11-1011.00	Newspaper Publisher	n/a	09
11-1011.00	Nonprofit Director	n/a	09
11-1011.00	Nonprofit Manager	n/a	09
11-1011.00	Operations Vice President	n/a	02,08
11-1011.00	Park Superintendent	n/a	08
11-1011.00	Police Commissioner	n/a	08
11-1011.00	Policy Advisor	n/a	09
11-1011.00	Policy Officer	n/a	09
11-1011.00	President	n/a	02,08
11-1011.00	President of the United States	n/a	09
11-1011.00	Private Sector Executive	n/a	08
11-1011.00	Program Administrator	n/a	10
11-1011.00	Program Manager	n/a	08
11-1011.00	Public Health Director	n/a	09
11-1011.00	Public Works Commissioner	n/a	08
11-1011.00	Public Works Director	n/a	09
11-1011.00	Railroad Commissioner	n/a	04,06
11-1011.00	Recreation Superintendent	n/a	08
11-1011.00	Regional Wildlife Agent	n/a	08
11-1011.00	Regulated Program Manager	n/a	08
11-1011.00	Regulatory Agency Director	n/a	08
11-1011.00	Regulatory Analyst	n/a	09
11-1011.00	Relocation Commissioner	n/a	08
11-1011.00	Revenue Director	n/a	08
11-1011.00	Road Commissioner	n/a	04,06
11-1011.00	Roads Supervisor	n/a	08
11-1011.00	Safety Council Director	n/a	08
11-1011.00	Sanitation Superintendent	n/a	08
11-1011.00	School Commissioner	n/a	04,06
11-1011.00	Secretary of State	n/a	04,06,08
11-1011.00	Software Publisher	n/a	09
11-1011.00	State Assessed Properties Director	n/a	08
11-1011.00	State Board of Nursing Executive Secretary	n/a	08
11-1011.00	State Superintendent of Public Instruction	n/a	04,06
11-1011.00	State Superintendent of Schools	n/a	04,06
11-1011.00	Store Manager	n/a	01
11-1011.00	Strategic Planner	n/a	09
11-1011.00	Supervisor	n/a	08
11-1011.00	Tax Commissioner	n/a	04,06
11-1011.00	Top Executive	n/a	09
11-1011.00	Township Supervisor	n/a	04,06
11-1011.00	Traffic Safety Administrator	n/a	08
11-1011.00	Translation Director	n/a	08
11-1011.00	Treasurer	n/a	01
11-1011.00	U.S. Commissioner	n/a	04,06
11-1011.00	Unemployment Insurance Director	n/a	08
11-1011.00	University President	n/a	09
11-1011.00	Vice Chancellor	n/a	04,06
11-1011.00	Vice President	n/a	02,08
11-1011.00	Water Commissioner	n/a	04,06
11-1011.00	Welfare Director	n/a	08
11-1011.03	Chief Environmental Commitment Officer (CECO)	CECO	08
11-1011.03	Chief Green Officer (CGO)	CGO	08
11-1011.03	Corporate Sustainability Process Manager	n/a	02
11-1011.03	Director of Sustainability	n/a	02
11-1011.03	Director of Sustainability Programs	n/a	02
11-1011.03	Director of Sustainable Design	n/a	02,08
11-1011.03	Energy and Sustainability Manager	n/a	10
11-1011.03	Environment Coordinator	n/a	08
11-1011.03	Environmental and Sustainability Manager	n/a	10
11-1011.03	Safety Manager	n/a	10
11-1011.03	Stakeholder Manager	n/a	10
11-1011.03	Supply Chain Manager, Sustainability and Energy	n/a	02
11-1011.03	Sustainability Coordinator	n/a	02
11-1011.03	Sustainability Director	n/a	02
11-1011.03	Sustainability Executive Director	n/a	08
11-1011.03	Sustainability Manager	n/a	08
11-1011.03	Sustainability Research and Advocacy Director	n/a	08
11-1011.03	Vice President, Corporate Social Responsibility and Sustainability (VP CSR and Sustainability)	VP CSR and Sustainability	02
11-1021.00	Adjutant General	n/a	04,06
11-1021.00	Adult Daycare Coordinator	n/a	09
11-1021.00	Assistant Manager	n/a	10
11-1021.00	Building Manager	n/a	08
11-1021.00	Business Administrator	n/a	09
11-1021.00	Business Coordinator	n/a	09
11-1021.00	Business Development Director	n/a	09
11-1021.00	Business Manager	n/a	02
11-1021.00	Chief Administrative Officer	n/a	09
11-1021.00	Chief Deputy	n/a	04,06
11-1021.00	Corporate Administrator	n/a	09
11-1021.00	Corporate Manager	n/a	09
11-1021.00	Department Store General Manager	n/a	04
11-1021.00	Department Store Manager	n/a	04,06,08
11-1021.00	District Commercial Superintendent	n/a	04,06
11-1021.00	District Plant Superintendent	n/a	04,06
11-1021.00	District Traffic Chief	n/a	04,06
11-1021.00	District Wire Chief	n/a	04,06
11-1021.00	Division Toll Wire Chief	n/a	04,06
11-1021.00	Division Traffic Superintendent	n/a	04,06
11-1021.00	Drilling and Production Superintendent	n/a	04,06
11-1021.00	Electrical Superintendent	n/a	04,06
11-1021.00	Equipment Maintenance Superintendent	n/a	04,06
11-1021.00	Executive Administrator	n/a	09
11-1021.00	Executive Director	n/a	10
11-1021.00	Facilities Manager	n/a	02,08
11-1021.00	Facility Manager	n/a	02
11-1021.00	Field Party Manager	n/a	04,06
11-1021.00	Fish and Game Club Manager	n/a	08
11-1021.00	Fitness Manager	n/a	09
11-1021.00	General Manager (GM)	GM	02,04
11-1021.00	General Superintendent	n/a	04,06
11-1021.00	Golf Course Manager	n/a	09
11-1021.00	Gym Manager	n/a	09
11-1021.00	Head of Store Operations	n/a	01
11-1021.00	Head of Visual Merchandising	n/a	01
11-1021.00	Industrial Organization Manager	n/a	04,06,08
11-1021.00	Installation Superintendent	n/a	04
11-1021.00	Laundry Superintendent	n/a	04,06
11-1021.00	Lease Operator	n/a	04,06
11-1021.00	Line Construction Superintendent	n/a	04,06
11-1021.00	Mine Administrator Supervisor	n/a	04,06
11-1021.00	Mine Superintendent	n/a	04,06
11-1021.00	Movie Theater Manager	n/a	08
11-1021.00	Newspaper Manager	n/a	09
11-1021.00	Nonprofit Director	n/a	09
11-1021.00	Nonprofit Manager	n/a	09
11-1021.00	Office Manager	n/a	02
11-1021.00	Offshoring Manager	n/a	08
11-1021.00	Oil Lease Operator	n/a	04,06
11-1021.00	Oil Operator	n/a	04,06
11-1021.00	Oil Producer	n/a	04,06
11-1021.00	Operations Administrator	n/a	09
11-1021.00	Operations Director	n/a	02
11-1021.00	Operations Manager	n/a	02,04
11-1021.00	Operations Supervisor	n/a	04,06
11-1021.00	Operations Vice President	n/a	08
11-1021.00	Park Superintendent	n/a	04,06
11-1021.00	Parks and Recreation Manager	n/a	09
11-1021.00	Plant Manager	n/a	02
11-1021.00	Plant Superintendent	n/a	02
11-1021.00	Plant Supervisor	n/a	04,06
11-1021.00	Print Production Coordinator	n/a	01
11-1021.00	Print Production Manager	n/a	08
11-1021.00	Printing Manager	n/a	09
11-1021.00	Prison Warden	n/a	09
11-1021.00	Production Manager	n/a	02
11-1021.00	Program Manager	n/a	08
11-1021.00	Public Works Director	n/a	09
11-1021.00	Publication Director	n/a	04,06
11-1021.00	Radio Station Manager	n/a	04,06
11-1021.00	Refinery Superintendent	n/a	04,06
11-1021.00	Relocation Commissioner	n/a	04,06
11-1021.00	Revenue Director	n/a	04,06
11-1021.00	Revenue Manager	n/a	09
11-1021.00	Roads Superintendent	n/a	04,06
11-1021.00	Salon Manager	n/a	09
11-1021.00	Shelter Director	n/a	08
11-1021.00	Shift Superintendent	n/a	04
11-1021.00	Shop Superintendent	n/a	06
11-1021.00	Social Insurance Administrator	n/a	04,06
11-1021.00	Solid Waste Manager	n/a	08
11-1021.00	Sports Team Manager	n/a	09
11-1021.00	Store Manager	n/a	01,02
11-1021.00	Street Commissioner	n/a	04,06
11-1021.00	Street Superintendent	n/a	04,06
11-1021.00	Substation Superintendent	n/a	04,06
11-1021.00	Television Station Manager	n/a	04,06
11-1021.00	Theatre Manager	n/a	08
11-1021.00	Venue Manager	n/a	08
11-1021.00	Water and Sewer Systems Supervisor	n/a	04,06
11-1021.00	Water Control Supervisor	n/a	04,06
11-1021.00	Water Superintendent	n/a	04,06
11-1021.00	Waterworks Supervisor	n/a	04,06
11-1021.00	Zoo Director	n/a	04,06
11-1031.00	Alderman	n/a	04,06
11-1031.00	Assembly Member	n/a	04,06
11-1031.00	Assembly Person	n/a	04
11-1031.00	Assemblyman or Woman	n/a	06
11-1031.00	City Alderman	n/a	04,06
11-1031.00	City Council Member	n/a	04,06
11-1031.00	City Councilman	n/a	04,06
11-1031.00	Congressional Representative	n/a	04,06
11-1031.00	Congressman	n/a	04,06
11-1031.00	Council Member	n/a	04,06
11-1031.00	Councilman	n/a	04,06
11-1031.00	Councilor	n/a	04,09
11-1031.00	Councilperson	n/a	04
11-1031.00	Delegate	n/a	04,06
11-1031.00	Legislator	n/a	04
11-1031.00	Member of Congress	n/a	04,06
11-1031.00	Representative	n/a	04,06
11-1031.00	Selectman	n/a	04,06
11-1031.00	Senator	n/a	04,06
11-1031.00	Tribal Council Member	n/a	04,06
11-1031.00	Tribal Delegate	n/a	04,06
11-1031.00	U.S. Representative	n/a	04,06
11-1031.00	U.S. Senator	n/a	04,06
11-2011.00	Account Director	n/a	10
11-2011.00	Account Executive	n/a	02,04,06,08
11-2011.00	Account Manager	n/a	02
11-2011.00	Account Specialist	n/a	09
11-2011.00	Advertising Account Executive	n/a	08
11-2011.00	Advertising Account Manager	n/a	08
11-2011.00	Advertising Agency Manager	n/a	08
11-2011.00	Advertising Campaign Manager	n/a	09
11-2011.00	Advertising Coordinator	n/a	08
11-2011.00	Advertising Director	n/a	02,04,06
11-2011.00	Advertising Executive	n/a	04,06
11-2011.00	Advertising Manager	n/a	02,04
11-2011.00	Advertising Operations Manager	n/a	10
11-2011.00	Advertising Sales Manager	n/a	02
11-2011.00	Advertising Sales Representative	n/a	02
11-2011.00	Advertising Vice President	n/a	10
11-2011.00	Art Director	n/a	02
11-2011.00	Brand Manager	n/a	08
11-2011.00	Campaign Director	n/a	04,06
11-2011.00	Campaign Manager	n/a	09
11-2011.00	Circulation Director	n/a	04,06
11-2011.00	Circulation Manager	n/a	04,06
11-2011.00	Classified Advertising Manager	n/a	02,04
11-2011.00	Client Services Director	n/a	09
11-2011.00	Creative Director	n/a	10
11-2011.00	Director of Marketing	n/a	02
11-2011.00	Director of Sales and Marketing	n/a	09
11-2011.00	Director of Sales Marketing	n/a	09
11-2011.00	Head of Advertising	n/a	01
11-2011.00	Head of Sales Promotion	n/a	01
11-2011.00	Market Development Director	n/a	02
11-2011.00	Marketing and Promotions Manager	n/a	02
11-2011.00	Marketing Director	n/a	02
11-2011.00	Marketing Manager	n/a	02
11-2011.00	Marketing Strategist	n/a	02
11-2011.00	Media Director	n/a	04,06,08
11-2011.00	Media Promoter	n/a	09
11-2011.00	Online Advertising Director	n/a	10
11-2011.00	Print Traffic Manager	n/a	09
11-2011.00	Promotion Manager	n/a	04
11-2011.00	Promotions Coordinator	n/a	02
11-2011.00	Promotions Director	n/a	02,04
11-2011.00	Promotions Executive Producer (Promos Executive Producer)	Promos Executive Producer	08
11-2011.00	Promotions Manager	n/a	02
11-2011.00	Promotions Producer	n/a	02
11-2011.00	Recruitment Advertising Manager	n/a	02
11-2011.00	Retail Advertising Sales Manager	n/a	02
11-2011.00	Sales Manager	n/a	02
11-2011.00	Sales Promotion Manager	n/a	09
11-2011.01	Environmental Marketer	n/a	08
11-2011.01	Environmental Marketing Representative	n/a	08
11-2011.01	Green Energy Marketing Analyst	n/a	08
11-2011.01	Green Marketer	n/a	08
