<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
< [a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4} >	EMAIL	2
((([a-za-z]{3,9}:(?:\\?\/\\?\/)?)(?:[-;:&=\+\$,\w]+@)?[a-za-z0-9.-]+|(?:www.|[-;:&=\+\$,\w]+@)[a-za-z0-9.-]+)(?::[0-9]+)?((?:\\?\/[\+~%\\?\/.\w_-]*)?\??(?:[-\+=&;%@.\w_]*)#?(?:[.\!\\?\/\\w]*))?)	URL	1
.*\.(ca|gov|com|edu|net|org|uk|us)	URL	1
hispanic - american	NATIONALITY	MISC,COUNTRY,LOCATION	1
hispanic american	NATIONALITY	MISC,COUNTRY,LOCATION	1
hispanic-american	NATIONALITY	MISC,COUNTRY,LOCATION	1
african - american	NATIONALITY	MISC,COUNTRY,LOCATION	1
african american	NATIONALITY	MISC,COUNTRY,LOCATION	1
african-american	NATIONALITY	MISC,COUNTRY,LOCATION	1
mexican - american	NATIONALITY	MISC,COUNTRY,LOCATION	1
mexican american	NATIONALITY	MISC,COUNTRY,LOCATION	1
mexican-american	NATIONALITY	MISC,COUNTRY,LOCATION	1
canadian - american	NATIONALITY	MISC,COUNTRY,LOCATION	1
canadian american	NATIONALITY	MISC,COUNTRY,LOCATION	1
canadian-american	NATIONALITY	MISC,COUNTRY,LOCATION	1
chinese - american	NATIONALITY	MISC,COUNTRY,LOCATION	1
chinese american	NATIONALITY	MISC,COUNTRY,LOCATION	1
chinese-american	NATIONALITY	MISC,COUNTRY,LOCATION	1
japanese - american	NATIONALITY	MISC,COUNTRY,LOCATION	1
japanese american	NATIONALITY	MISC,COUNTRY,LOCATION	1
japanese-american	NATIONALITY	MISC,COUNTRY,LOCATION	1
korean - american	NATIONALITY	MISC,COUNTRY,LOCATION	1
korean american	NATIONALITY	MISC,COUNTRY,LOCATION	1
korean-american	NATIONALITY	MISC,COUNTRY,LOCATION	1
german - irish	NATIONALITY	MISC,COUNTRY,LOCATION	1
german irish	NATIONALITY	MISC,COUNTRY,LOCATION	1
german-irish	NATIONALITY	MISC,COUNTRY,LOCATION	1
african	NATIONALITY	MISC,COUNTRY,LOCATION	1
american	NATIONALITY	MISC,COUNTRY,LOCATION	1
anguillan	NATIONALITY	MISC,COUNTRY,LOCATION	1
antarctican	NATIONALITY	MISC,COUNTRY,LOCATION	1
antiguan	NATIONALITY	MISC,COUNTRY,LOCATION	1
argentinian	NATIONALITY	MISC,COUNTRY,LOCATION	1
aruban	NATIONALITY	MISC,COUNTRY,LOCATION	1
asian	NATIONALITY	MISC,COUNTRY,LOCATION	1
australasian	NATIONALITY	MISC,COUNTRY,LOCATION	1
bahamian	NATIONALITY	MISC,COUNTRY,LOCATION	1
bahreini	NATIONALITY	MISC,COUNTRY,LOCATION	1
barbudan	NATIONALITY	MISC,COUNTRY,LOCATION	1
belarusan	NATIONALITY	MISC,COUNTRY,LOCATION	1
belarusian	NATIONALITY	MISC,COUNTRY,LOCATION	1
belarussian	NATIONALITY	MISC,COUNTRY,LOCATION	1
bermudian	NATIONALITY	MISC,COUNTRY,LOCATION	1
botswanan	NATIONALITY	MISC,COUNTRY,LOCATION	1
british	NATIONALITY	MISC,COUNTRY,LOCATION	1
burkinese	NATIONALITY	MISC,COUNTRY,LOCATION	1
burmese	NATIONALITY	MISC,COUNTRY,LOCATION	1
cape verdean	NATIONALITY	MISC,COUNTRY,LOCATION	2
cape-verdean	NATIONALITY	MISC,COUNTRY,LOCATION	2
catalan	NATIONALITY	MISC,COUNTRY,LOCATION	1
caymanian	NATIONALITY	MISC,COUNTRY,LOCATION	1
carribean	NATIONALITY	MISC,COUNTRY,LOCATION	1
channel islander	NATIONALITY	MISC,COUNTRY,LOCATION	2
