"PERSON","TITLE","ORGANIZATION"
"Tim Cook","CEO",""
"Angela Ahrendts","Senior Vice President","Retail; Online Stores"
"Eddy Cue","Senior Vice President","Internet Software and Services"
"Craig Federighi","Senior Vice President","Software Engineering"
"Jonathan Ive","Chief Design Officer",""
"Luca Maestri","Senior Vice President; Chief Financial Officer",""
"Dan Riccio","Senior Vice President","Hardware Engineering"
"Philip W. Schiller","Senior Vice President","Worldwide Marketing"
"Bruce Sewell","Senior Vice President; General Counsel",""
"Johny Srouji","Senior Vice President","Hardware Technologies"
"Jeff Williams","Chief Operating Officer",""
"Paul Deneve","Vice President",""
"Alan Dye","President; Vice President","Special Projects; User Interface Design"
"Steve Dowling","Vice President","Communications"
"Richard Howarth","Vice President","Industrial Design"
"Lisa Jackson","Vice President","Environment; Policy; Social Initiatives"
"Tor Myhren","Vice President","Marketing Communications"
"Joel Podolny","Vice President Dean","Apple University"
"Denise Young Smith","Vice President","Worldwide Human Resources"
"Arthur D. Levinson","Ph. D.; Chairman; Former Chairman; CEO","Board; Apple; Genentech"
"James A. Bell","Former CFO; Corporate President","The Boeing Company"
"Tim Cook","CEO","Apple"
"Albert Gore Jr.","Former Vice President","the United States"
"Robert A. Iger","President; Chairman; CEO","The Walt Disney Company"
"Andrea Jung","President; CEO","Grameen America; Inc."
"Ronald D. Sugar","Ph. D.; Former Chairman; CEO","Northrop Grumman"
"Susan L. Wagner","Co-founder; Director","BlackRock"
