O*NET-SOC Code	Reported Job Title	Shown in My Next Move
11-1011.00	Chief Diversity Officer (CDO)	N
11-1011.00	Chief Executive Officer (CEO)	Y
11-1011.00	Chief Financial Officer (CFO)	Y
11-1011.00	Chief Nursing Officer	N
11-1011.00	Chief Operating Officer (COO)	N
11-1011.00	Executive Director	N
11-1011.00	Executive Vice President (EVP)	N
11-1011.00	Operations Vice President	N
11-1011.00	President	Y
11-1011.00	Vice President	Y
11-1011.03	Corporate Sustainability Process Manager	Y
11-1011.03	Director of Sustainability	Y
11-1011.03	Director of Sustainability Programs	N
11-1011.03	Director of Sustainable Design	Y
11-1011.03	Supply Chain Manager, Sustainability and Energy	N
11-1011.03	Sustainability Coordinator	N
11-1011.03	Sustainability Director	Y
11-1011.03	Vice President, Corporate Social Responsibility and Sustainability (VP CSR and Sustainability)	N
11-1021.00	Business Manager	N
11-1021.00	Facilities Manager	N
11-1021.00	Facility Manager	N
11-1021.00	General Manager (GM)	Y
11-1021.00	Operations Director	N
11-1021.00	Operations Manager	Y
11-1021.00	Plant Manager	Y
11-1021.00	Plant Superintendent	N
11-1021.00	Production Manager	N
11-1021.00	Store Manager	Y
11-2011.00	Account Executive	N
11-2011.00	Advertising Director	Y
11-2011.00	Advertising Manager	Y
11-2011.00	Advertising Sales Manager	N
11-2011.00	Classified Advertising Manager	Y
11-2011.00	Marketing and Promotions Manager	N
11-2011.00	Marketing Director	N
11-2011.00	Marketing Manager	N
11-2011.00	Promotions Director	Y
11-2011.00	Retail Advertising Sales Manager	N
11-2021.00	Account Supervisor	N
11-2021.00	Brand Manager	Y
11-2021.00	Business Development Director	N
11-2021.00	Business Development Manager	Y
11-2021.00	Commercial Lines Manager	N
11-2021.00	Market Development Executive	N
11-2021.00	Marketing Coordinator	N
11-2021.00	Marketing Director	Y
11-2021.00	Marketing Manager	Y
11-2021.00	Product Manager	N
11-2022.00	Director of Sales	Y
11-2022.00	District Sales Manager	Y
11-2022.00	General Manager	N
11-2022.00	Regional Sales Manager	N
11-2022.00	Sales and Marketing Vice President	N
11-2022.00	Sales Manager	Y
11-2022.00	Sales Representative	N
11-2022.00	Sales Supervisor	N
11-2022.00	Store Manager	N
11-2022.00	Vice President of Sales	Y
11-2031.00	Account Executive	Y
11-2031.00	Account Manager	N
11-2031.00	Account Supervisor	Y
11-2031.00	Business Development Director	N
11-2031.00	Communications Director	N
11-2031.00	Community Relations Director	N
11-2031.00	Director of Public Relations	N
11-2031.00	Public Affairs Director	N
11-2031.00	Public Relations Director	Y
11-2031.00	Public Relations Manager (PR Manager)	Y
11-3011.00	Administrative Assistant	Y
11-3011.00	Administrative Coordinator	Y
11-3011.00	Administrative Manager	N
11-3011.00	Administrative Officer	Y
11-3011.00	Administrative Specialist	N
11-3011.00	Administrator	N
11-3011.00	Business Administrator	N
11-3011.00	Business Manager	N
11-3011.00	Director of Operations	N
11-3011.00	Office Manager	Y
11-3021.00	Computing Services Director	N
11-3021.00	Data Processing Manager	Y
11-3021.00	Director of Application Development	N
11-3021.00	Information Systems Director (IS Director)	Y
11-3021.00	Information Systems Manager (IS Manager)	N
11-3021.00	Information Systems Supervisor (IS Supervisor)	N
11-3021.00	Information Technology Director (IT Director)	Y
11-3021.00	Information Technology Manager (IT Manager)	Y
11-3021.00	MIS Director (Management Information Systems Director)	N
11-3021.00	Technical Services Manager	N
11-3031.01	Chief Financial Officer (CFO)	N
11-3031.01	Chief School Finance Officer	Y
11-3031.01	Comptroller	N
11-3031.01	Controller	Y
11-3031.01	Director of Finance	N
11-3031.01	Finance Director	Y
11-3031.01	Finance Manager	N
11-3031.01	Finance Vice President	N
